year,RNP,vessel_registration_number,species_permit,fishing_gear_number,fishing_gear_type_en
2013,306000902,25032130137,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2014,305006397,3001194113-4,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2017,312003261,18010313133,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,306001769,3102046113-4,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2012,306001090,14022275135,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305007007,3102051613-4,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305005423,25019544132,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2016,305007155,3101418413-2,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2017,305007221,2602510713-5,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,306001744,NA,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2017,305006892,0302565513-7,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2016,305001893,0201338213-5,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305006801,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306000993,NA,ESCAMA MARINA,7,HOOK AND LINES / ROD AND REEL
2016,306001900,NA,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2016,305005910,0302032613-3,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2013,306001280,2801028213-3,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2014,306001033,28021729136,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,305002305,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2013,306000902,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,306001769,2603119813-3,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305006371,2802069313-6,ESCAMA MARINA,50,HOOK AND LINES / ROD AND REEL
2017,306001835,14013137136,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2017,305006819,0302318713-4,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305006843,2603007013-5,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305007403,0302329313-2,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,305002354,3024064130,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,306001785,20020622135,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2017,306001900,0701287313-4,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2015,306001835,1402075113-5,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2012,305007643,14022309138,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305007007,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306001926,NA,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2015,305006819,25014301138,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305006405,26030179134,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2014,505007155,28020079138,ESCAMA,12,HOOK AND LINES / ROD AND REEL
2014,305006033,3101342110-7,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305006777,0303060413-6,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305006793,NA,ESCAMA MARINA,22,HOOK AND LINES / ROD AND REEL
2015,305007064,26033663136,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,303006589,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,305006934,3102002813-6,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305001893,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2016,305007627,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,305006322,27022804139,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2017,305007064,2602619013-1,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305006546,3102382513-4,ESCAMA MARINA,42,HOOK AND LINES / ROD AND REEL
2013,305007759,3002443813-5,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2015,305006306,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305006868,NA,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2015,305006025,NA,ESCAMA MARINA,26,HOOK AND LINES / ROD AND REEL
2017,305006595,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305007288,12010645133,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305005423,3003104213-8,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305006371,3102111913-5,ESCAMA MARINA,80,HOOK AND LINES / ROD AND REEL
2012,306001793,2504001613-0,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305000127,3102185013-5,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2015,306001785,3101203810-6,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2015,305007098,2602290813-3,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007346,26025149132,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305006306,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305006306,25014266131,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,305006934,3001066213-5,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007759,3002051713-6,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2016,305002305,3040667136,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2016,305007270,0303088513-2,ESCAMA MARINA,45,HOOK AND LINES / ROD AND REEL
2016,305005811,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2016,306001827,NA,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2016,305006546,NA,ESCAMA MARINA,42,HOOK AND LINES / ROD AND REEL
2015,305000127,NA,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2017,305006512,14011854131,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305007346,0402320213-7,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305000069,NA,ESCAMA MARINA,52,HOOK AND LINES / ROD AND REEL
2016,305000036,3102207913-6,ESCAMA MARINA,210,HOOK AND LINES / ROD AND REEL
2016,305002929,30035320138,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2013,305007817,3040134135,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305007627,28020713137,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2013,302001268,16021574133,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2014,312000805,14023865138,ESCAMA,6,HOOK AND LINES / ROD AND REEL
2015,305007692,27022435138,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2014,306001793,0202074813-4,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305007056,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2012,306001801,2502054013-6,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2016,305006249,2804234813-4,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305006092,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,306000951,30020104136,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305000846,NA,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2012,306001710,12025777139,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2017,305000127,3003438413-1,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2017,305005829,3102189113-5,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2016,306001900,NA,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2017,305007429,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305000846,3102019413-8,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2017,305007361,0202109113-6,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,302001128,0701939313-3,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,305006512,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,305006769,30036413130,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305006793,0701287113-1,ESCAMA MARINA,22,HOOK AND LINES / ROD AND REEL
2015,306001744,3001B135132,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2016,306001082,27011391132,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2012,305007296,14022271136,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,302000567,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305000846,NA,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2016,305007270,3102267313-8,ESCAMA MARINA,45,HOOK AND LINES / ROD AND REEL
2015,305007270,NA,ESCAMA MARINA,45,HOOK AND LINES / ROD AND REEL
2015,305005423,3103222613-6,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,305006801,25027468139,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,303006589,2501542313-6,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2016,305003162,14025451135,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2012,312003261,2502051313-6,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305006801,2804477713-9,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007122,30035880132,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2012,306001793,2502052413-6,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007221,2021523137,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305005910,2603033113-6,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2017,306001793,25012986138,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305007122,0303010813-6,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305004244,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2014,305006397,2601141313-6,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2017,305007650,NA,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2016,305006645,NA,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2014,305007585,3102052513-6,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2017,305006827,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305006249,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2014,306001082,NA,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2015,305000069,3001791413-2,ESCAMA MARINA,52,HOOK AND LINES / ROD AND REEL
2015,305006025,0701162713-3,ESCAMA MARINA,26,HOOK AND LINES / ROD AND REEL
2014,306001892,3003487813-3,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2017,305006793,25012986138,ESCAMA MARINA,22,HOOK AND LINES / ROD AND REEL
2016,305004764,30020461131,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2017,306001777,NA,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2017,306001728,0701281413-3,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,306001769,3102397913-9,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2014,305007585,NA,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2017,305006827,25013063135,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,306001769,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305007122,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305006306,0701778913-8,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2013,302001250,2603114413-5,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,305004459,0302328713-3,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2012,306001892,0701404313-5,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2016,305006744,14020934137,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007429,0303010413-2,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305003113,25013229133,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2014,305006728,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2014,305004111,NA,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2012,306000936,2502622513-5,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2017,305008740,0304260813-3,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2017,305005423,25025665135,ESCAMA MARINA,40,HOOK AND LINES / ROD AND REEL
2015,305006843,28021730137,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,305004111,3003292213-8,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2014,305006728,3001B037134,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,302001268,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,305007452,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305006769,3001A85613-3,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305008328,3001A85813-1,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305000069,0701957813-9,ESCAMA MARINA,52,HOOK AND LINES / ROD AND REEL
2015,305007759,3001799613-6,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2015,306001702,2502528313-4,ESCAMA,5,HOOK AND LINES / ROD AND REEL
2017,306001769,3001315113-2,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,305007361,3001670213-9,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,306001918,0201361013-2,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2016,305007585,NA,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2016,305006306,3102248213-5,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2014,306001033,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,305003188,NA,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2017,302000567,3102027613-5,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305006785,0303006213-8,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2014,306001892,18022016132,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2012,305005985,0701402613-5,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305006264,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,305006546,28021178131,ESCAMA MARINA,42,HOOK AND LINES / ROD AND REEL
2016,306001934,NA,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2016,305006405,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,306001934,18014387138,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2015,306001108,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2017,305005423,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305005795,2501A282135,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,305006785,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305006777,18010926131,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305007338,1101136613-5,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,305006728,2802133813-2,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,302000567,NA,ESCAMA MARINA,39,HOOK AND LINES / ROD AND REEL
2015,305006884,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305003188,3102089813-8,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2014,305007189,2601167213-1,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2014,306001082,3003466913-8,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2017,305007098,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2013,305007692,3002671110-3,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2015,305006579,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,306001793,3002901413-2,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,305007650,0303113313-8,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2015,305005878,3103022513-7,ESCAMA MARINA,11,HOOK AND LINES / ROD AND REEL
2017,306001744,12025374138,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2017,305007692,2602381213-3,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2014,306001793,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007320,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2014,305007783,0202121213-3,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2011,305007593,3101101813-6,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2011,305007593,2011043132,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2015,305004459,2013923134,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2016,305007585,3002471013-1,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2015,306000951,30031897133,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007429,26025148133,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2014,305002929,0202142113-2,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2017,305006371,2502672613-1,ESCAMA MARINA,50,HOOK AND LINES / ROD AND REEL
2017,305007312,0302274113-3,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,306001900,NA,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2015,306001793,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,305006736,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305005878,2804163813-3,ESCAMA MARINA,11,HOOK AND LINES / ROD AND REEL
2015,305006371,NA,ESCAMA MARINA,50,HOOK AND LINES / ROD AND REEL
2017,305007403,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,306001108,30029136133,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305007031,1801729013-6,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007817,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,306001926,2504221610-3,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2017,305006801,3102348613-9,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,306001926,0302177713-1,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2015,305005829,NA,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2016,305007304,2603207213-4,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305007338,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305007098,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,302001250,03050251313-6,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,305007650,3002005213-8,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2017,305004749,0202050213-5,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2012,306001793,14022376135,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007445,2501399113-9,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,305007270,0302380913-8,ESCAMA MARINA,45,HOOK AND LINES / ROD AND REEL
2015,305006884,3103236613-4,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,302001268,2602263113-5,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,302001268,3103025313-6,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2017,305006892,14012683131,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2017,305007320,28020987138,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305007692,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305006785,18012505135,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007320,0303156313-5,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305006819,14026417131,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2014,305006876,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,302001268,NA,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,305006025,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305007320,3001008513-5,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305007288,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305006728,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305006371,NA,ESCAMA MARINA,80,HOOK AND LINES / ROD AND REEL
2017,305007288,25014889136,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305005829,30034538133,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2016,305006876,2501848113-4,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,305006934,25012348131,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305006967,0303060513-1,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,306001793,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,306001892,NA,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2017,306001108,0302034513-6,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305007585,30033307135,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2017,305007288,3001280813-3,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305007098,0302389413-9,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2013,305007759,1402248113-4,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2016,306001827,0302341813-5,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2015,306001702,0201395413-4,ESCAMA,5,HOOK AND LINES / ROD AND REEL
2016,305007593,3102396013-3,ESCAMA MARINA,25,HOOK AND LINES / ROD AND REEL
2015,305006868,0302333913-5,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2016,305001521,3002472713-1,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2015,305007437,3001008613-4,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,305006397,25011915134,ESCAMA MARINA,16,HOOK AND LINES / ROD AND REEL
2017,306001777,3102130013-9,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2017,306001835,NA,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2016,306001710,1401272613-4,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,306001744,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2012,306001892,25040187135,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2017,305007445,2802072913-8,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,306000118,31024160134,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305003113,0302330613-4,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2015,306001793,0701A85613-7,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2016,306001801,NA,ESCAMA MARINA,30,HOOK AND LINES / ROD AND REEL
2016,305001893,3002897813-8,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2014,305000036,0302172413-3,ESCAMA MARINA,210,HOOK AND LINES / ROD AND REEL
2015,305007411,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305007452,20031607139,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007429,25015621139,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2013,306001744,2603114513-9,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,305005795,30031083135,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2011,305007585,3101106913-7,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2017,306000951,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,306001108,NA,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2014,306001801,2502607713-2,ESCAMA,30,HOOK AND LINES / ROD AND REEL
2015,305008054,NA,ESCAMA,2,HOOK AND LINES / ROD AND REEL
2015,306001280,3102042913-8,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2016,305006835,3101097813-9,ESCAMA MARINA,3,HOOK AND LINES / ROD AND REEL
2015,303000285,25013016134,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,306001744,3103153413-7,ESCAMA MARINA,21,HOOK AND LINES / ROD AND REEL
2013,305005423,2803003213-6,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2012,306001033,25043913136,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,305006777,2804149213-1,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2012,305006645,28021440135,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2012,306001801,2504003213-6,ESCAMA MARINA,24,HOOK AND LINES / ROD AND REEL
2017,305007346,0303204513-6,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,305007361,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,306001926,NA,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2016,306001892,NA,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2013,305007221,1801649113-8,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305007064,18013910133,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306001710,1401251613-5,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2016,305000671,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305006769,2603037413-1,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2017,306001769,2802054813-9,ESCAMA MARINA,15,HOOK AND LINES / ROD AND REEL
2014,305006645,0304139613-3,ESCAMA,21,HOOK AND LINES / ROD AND REEL
2015,305004459,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2015,303000285,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,305007221,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2015,305008054,3002554613-4,ESCAMA,2,HOOK AND LINES / ROD AND REEL
2017,305006769,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2016,306000936,30036237134,ESCAMA MARINA,14,HOOK AND LINES / ROD AND REEL
2016,305007452,2804426413-5,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2017,306001728,2010124139,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,306001710,20031615134,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
