year,RNP,vessel_registration_number,species_permit,fishing_gear_number,fishing_gear_type_en
2014,305006546,3101539813-6,ESCAMA,200,HOOK AND LINES / ROD AND REEL
2016,305001893,0201338213-5,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305004459,0302530613-3,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305007098,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2014,305006397,2601141313-6,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305007312,2501601313-4,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006918,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305006306,25014266131,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305006512,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305007338,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006306,3101304713-5,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305003113,2502004913-3,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006918,0302107913-9,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2014,305006793,12026037135,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007312,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006769,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007692,27022435138,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006819,0301041413-7,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305004459,0304255010-6,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305007064,26033663136,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007312,14026416134,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305008195,3102122513-2,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007064,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305005878,NA,ESCAMA MARINA,400,HOOK AND LINES / ROD AND REEL
2015,305007361,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006579,0202052113-7,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007098,26013041134,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305003113,0304078713-1,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305006769,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006306,30035812134,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2016,305006744,NA,ESCAMA MARINA,130,HOOK AND LINES / ROD AND REEL
2015,305006769,2501054313-0,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
